"series_id","series_label","year","date","growth_rate","index_value","population","anchor_year","anchor_index_value","index_vs_anchor_100","is_anchor_year"
"gdp","Real GDP",1951,1951-12-31,0.11668107173725,13471.1438501647,5213263,2025,38677.8871053934,34.8290583026347,FALSE
"gdp","Real GDP",1952,1952-12-31,0.0728257810301141,14452.190422422,5431733,2025,38677.8871053934,37.3655116760676,FALSE
"gdp","Real GDP",1953,1953-12-31,0.0618482324391672,15346.032854923,5662004,2025,38677.8871053934,39.6765025274172,FALSE
"gdp","Real GDP",1954,1954-12-31,0.0962940086473183,16823.763875357,5901665,2025,38677.8871053934,43.4971120048877,FALSE
"gdp","Real GDP",1955,1955-12-31,0.0887937348583014,18317.6087042241,6148303,2025,38677.8871053934,47.3593830353515,FALSE
"gdp","Real GDP",1956,1956-12-31,0.105614489003878,20252.2135872938,6403525,2025,38677.8871053934,52.3612200741693,FALSE
"gdp","Real GDP",1957,1957-12-31,0.116119067677622,22603.8817474584,6668941,2025,38677.8871053934,58.4413561316446,FALSE
"gdp","Real GDP",1958,1958-12-31,0.0132930766972785,22904.3568811836,6942137,2025,38677.8871053934,59.2182215609956,FALSE
"gdp","Real GDP",1959,1959-12-31,0.0786707498758492,24706.2598124503,7220702,2025,38677.8871053934,63.8769634575131,FALSE
"gdp","Real GDP",1960,1960-12-31,0.0398235181277553,25690.1499979605,7502222,2025,38677.8871053934,66.4207688697094,FALSE
"gdp","Real GDP",1961,1961-12-31,0.0506217023945683,26990.6291256291,7785870,2025,38677.8871053934,69.7831012642503,FALSE
"gdp","Real GDP",1962,1962-12-31,0.0904302019315204,29431.3971677185,8073256,2025,38677.8871053934,76.0936012029842,FALSE
"gdp","Real GDP",1963,1963-12-31,0.0685024154589375,31447.5189640385,8365618,2025,38677.8871053934,81.3061966863576,FALSE
"gdp","Real GDP",1964,1964-12-31,0.0973566024655608,34509.1425663486,8664200,2025,38677.8871053934,89.2218917551381,FALSE
"gdp","Real GDP",1965,1965-12-31,0.0586700359820922,36533.7952024274,8970241,2025,38677.8871053934,94.4565433548023,FALSE
"gdp","Real GDP",1966,1966-12-31,0.023376488597151,37387.8270493876,9279558,2025,38677.8871053934,96.6646056634621,FALSE
"gdp","Real GDP",1967,1967-12-31,0.0402849609573088,38893.9942023508,9591323,2025,38677.8871053934,100.558735528568,FALSE
"gdp","Real GDP",1968,1968-12-31,0.0520069212584973,40916.7510962609,9911812,2025,38677.8871053934,105.788485769057,FALSE
"gdp","Real GDP",1969,1969-12-31,0.0417008083268744,42623.0126910845,10247303,2025,38677.8871053934,110.199951137302,FALSE
"gdp","Real GDP",1970,1970-12-31,0.0764488286066578,45881.4920830047,10604071,2025,38677.8871053934,118.62460831426,FALSE
"gdp","Real GDP",1971,1971-12-31,0.0307105897223221,47290.5397622138,10984194,2025,38677.8871053934,122.267639991171,FALSE
"gdp","Real GDP",1972,1972-12-31,0.032573914043188,48830.9777394841,11383489,2025,38677.8871053934,126.250375586506,FALSE
"gdp","Real GDP",1973,1973-12-31,0.062554510196887,51885.5756344126,11798838,2025,38677.8871053934,134.147905993493,FALSE
"gdp","Real GDP",1974,1974-12-31,0.0606356968215152,55031.6936679907,12227126,2025,38677.8871053934,142.282057750556,FALSE
"gdp","Real GDP",1975,1975-12-31,0.060676414410854,58370.8195187208,12665235,2025,38677.8871053934,150.915222849858,FALSE
"gdp","Real GDP",1976,1976-12-31,0.0877097660555448,63490.5104431783,13118977,2025,38677.8871053934,164.151961740239,FALSE
"gdp","Real GDP",1977,1977-12-31,0.0672213738279073,67758.4297802038,13590432,2025,38677.8871053934,175.186482124964,FALSE
"gdp","Real GDP",1978,1978-12-31,0.0213835805127249,69207.3476188246,14070880,2025,38677.8871053934,178.932596370224,FALSE
"gdp","Real GDP",1979,1979-12-31,0.0133549806221844,70131.6104051868,14551602,2025,38677.8871053934,181.322237727426,FALSE
"gdp","Real GDP",1980,1980-12-31,-0.019884748565817,68737.0609657638,15023880,2025,38677.8871053934,177.716690620825,FALSE
"gdp","Real GDP",1981,1981-12-31,-0.00301883807690773,68529.5549088257,15484656,2025,38677.8871053934,177.180192708277,FALSE
"gdp","Real GDP",1982,1982-12-31,0.00682286983656955,68997.1231419266,15939742,2025,38677.8871053934,178.389070100743,FALSE
"gdp","Real GDP",1983,1983-12-31,-0.0561698886320663,65121.5624191116,16311069,2025,38677.8871053934,168.368975900007,FALSE
"gdp","Real GDP",1984,1984-12-31,-0.0135388982425861,64239.8882121211,16712952,2025,38677.8871053934,166.089445468088,FALSE
"gdp","Real GDP",1985,1985-12-31,0.00193300196156732,64364.064042046,17137604,2025,38677.8871053934,166.410496691974,FALSE
