"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_KGZ_1","Kyrgyzstan (1993-1995)","KGZ","Kyrgyzstan",1993,1995,-0.24801466961326,2,FALSE,5,2000,91.6823221438048,5,"5 años después",0.24801466961326,0.916823221438048,7,-0.0123291659372788,1.21920359931295,0.0404357040561445,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LCA_18","Saint Lucia (2018-2020)","LCA","Saint Lucia",2018,2020,-0.24758493258427,2,FALSE,5,2025,108.646696681797,5,"5 años después",0.24758493258427,1.08646696681797,7,0.0119177596774123,1.44397289989099,0.076246639760527,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_QAT_1","Qatar (1981-1983)","QAT","Qatar",1981,1983,-0.247135,2,FALSE,5,1988,64.9750037549456,5,"5 años después",0.247135,0.649750037549456,7,-0.0597367257587648,0.863036583649732,-0.029029934321243,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_KWT_7","Kuwait (2007-2011)","KWT","Kuwait",2007,2011,-0.243663824869233,4,FALSE,5,2016,67.4381362105795,5,"5 años después",0.243663824869233,0.674381362105795,9,-0.0428290561526334,0.891642346723925,-0.0226769599214758,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_AGO_15","Angola (2014-2021)","AGO","Angola",2014,2021,-0.242962379055408,7,FALSE,5,2026,75.2982889549452,5,"5 años después",0.242962379055408,0.752982889549452,12,-0.0233654315103466,0.994643949939924,-0.00107351239678166,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_GNB_6","Guinea-Bissau (1997-1998)","GNB","Guinea-Bissau",1997,1998,-0.240958041958042,1,FALSE,5,2003,87.3441639563664,5,"5 años después",0.240958041958042,0.873441639563664,6,-0.0222999245531167,1.15071588640082,0.0284747214376948,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_SDN_10","Sudan (Former) (2011-2013)","SDN","Sudan (Former)",2011,2013,-0.235405303616857,2,FALSE,5,2018,74.5826021546094,5,"5 años después",0.235405303616857,0.745826021546094,7,-0.0410292480089477,0.975452779196831,-0.00495837185985826,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_TGO_5","Togo (1990-1993)","TGO","Togo",1990,1993,-0.234463165843594,3,FALSE,5,1998,88.0331338028466,5,"5 años después",0.234463165843594,0.880331338028466,8,-0.0158058704263266,1.14995294641643,0.0283383067627569,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CIV_5","Côte d'Ivoire (1988-1994)","CIV","Côte d'Ivoire",1988,1994,-0.233616795854476,6,FALSE,5,1999,84.4011068324322,5,"5 años después",0.233616795854476,0.844011068324322,11,-0.0152990054821854,1.10129118665296,0.0194840433836989,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_JOR_12","Jordan (2012-2020)","JOR","Jordan",2012,2020,-0.225046689277999,8,FALSE,5,2025,84.6368241363342,5,"5 años después",0.225046689277999,0.846368241363342,13,-0.0127488620798732,1.0921538493394,0.0177866830309945,"Otros países","",FALSE
