"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"Maddison, PIB pc","maddison_HRV_8","Croatia (1986-1993)","HRV","Croatia",1986,1993,-0.393761082170465,7,2002,16,FALSE
"Maddison, PIB pc","maddison_CAF_24","Central African Republic (2012-2014)","CAF","Central African Republic",2012,2014,-0.387554585152838,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_LBN_16","Lebanon (1980-1982)","LBN","Lebanon",1980,1982,-0.387369791666667,2,1984,4,FALSE
"Maddison, PIB pc","maddison_NIC_34","Nicaragua (1983-1993)","NIC","Nicaragua",1983,1993,-0.384727408339616,10,2006,23,FALSE
"Maddison, PIB pc","maddison_PSE_26","State of Palestine (1999-2002)","PSE","State of Palestine",1999,2002,-0.38076305638382,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_TKM_7","Turkmenistan (1993-1997)","TKM","Turkmenistan",1993,1997,-0.379689332668402,4,2001,8,FALSE
"Maddison, PIB pc","maddison_KAZ_7","Kazakhstan (1988-1995)","KAZ","Kazakhstan",1988,1995,-0.373852542557151,7,2003,15,FALSE
"Maddison, PIB pc","maddison_LBY_10","Libya (1979-1984)","LBY","Libya",1979,1984,-0.373211534228483,5,2000,21,FALSE
"Maddison, PIB pc","maddison_UZB_5","Uzbekistan (1988-1996)","UZB","Uzbekistan",1988,1996,-0.372921859786908,8,2011,23,FALSE
"Maddison, PIB pc","maddison_GAB_2","Gabon (1976-1978)","GAB","Gabon",1976,1978,-0.371381501529772,2,2007,31,FALSE
"Maddison, PIB pc","maddison_EST_4","Estonia (1989-1994)","EST","Estonia",1989,1994,-0.357257544969001,5,2003,14,FALSE
"Maddison, PIB pc","maddison_COG_18","Congo (2014-2021)","COG","Congo",2014,2021,-0.351633054600843,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_MOZ_6","Mozambique (1973-1979)","MOZ","Mozambique",1973,1979,-0.351306095110516,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_NIC_30","Nicaragua (1977-1979)","NIC","Nicaragua",1977,1979,-0.351057747284162,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_MOZ_10","Mozambique (1990-1995)","MOZ","Mozambique",1990,1995,-0.343575360348206,5,NA,NA,FALSE
