"date","year","gdp_growth","gdp_pc_growth","gdp_index","gdp_pc_index","population"
1900-12-31,1900,-0.0342679127725857,-0.0468048857413998,584.905660377358,205.181093741451,2542399
1901-12-31,1901,-0.0161290322580645,-0.0291147799350844,575.471698113207,199.207291350329,2576404
1902-12-31,1902,0.0885245901639344,0.0747564326622321,626.415094339622,214.099317811985,2609409
1903-12-31,1903,0.0813253012048192,0.0674150824999664,677.358490566037,228.532840985467,2643414
1904-12-31,1904,-0.0250696378830083,-0.0421036082289257,660.377358490566,218.910783781171,2690421
1905-12-31,1905,-0.0114285714285715,-0.0172739631969816,652.830188679245,215.129326958713,2706424
1906-12-31,1906,-0.0664739884393064,-0.071278835626428,609.433962264151,199.795159023999,2720426
1907-12-31,1907,0,-0.00766133283043247,609.433962264151,198.264461812807,2741429
1908-12-31,1908,0.068111455108359,0.0603743703506927,650.943396226415,210.234553857674,2761432
1909-12-31,1909,0.0347826086956522,0.0277103434159232,673.584905660377,216.060225542963,2780435
1910-12-31,1910,0.0336134453781514,0.0244011721516668,696.226415094339,221.332348301565,2805439
1911-12-31,1911,0.070460704607046,0.0595066294031872,745.283018867924,234.503090326883,2834444
1912-12-31,1912,0.0329113924050632,0.0249549523356034,769.811320754716,240.355103768542,2856447
1913-12-31,1913,0.154411764705882,0.147181555448459,888.679245283018,275.730941801172,2874450
1914-12-31,1914,-0.125265392781316,-0.132808835139393,777.358490566037,239.111436608671,2899454
1915-12-31,1915,0.0315533980582525,0.0248366264137494,801.88679245283,245.050158030975,2918457
1916-12-31,1916,-0.0564705882352942,-0.0600141471614423,756.603773584905,230.34368178497,2929459
1917-12-31,1917,0.167082294264339,0.161136021388403,883.018867924528,267.460346219756,2944461
1918-12-31,1918,-0.00854700854700852,-0.0132394197031815,875.471698113207,263.919326442194,2958463
1919-12-31,1919,-0.0646551724137931,-0.0693742604486107,818.867924528301,245.610118352172,2973465
1920-12-31,1920,0.200460829493088,0.19283757098444,983.018867924528,292.972976984405,2992468
1921-12-31,1921,0.0381021917026347,0.0326999999999997,1020.4740412775,302.553193331795,3008122
